season,matchid,player,playerid,eventtype,minute,team
2020-2021,d725a16c,Callum Hudson-Odoi,15f3ec41,goal,70,a
2020-2021,d725a16c,Tammy Abraham,f586779e,goal,90+3,a
2020-2021,ae113c54,Danny Ings,07802f7f,goal,5,a
2020-2021,51fb894e,Patrick Bamford,93feac6e,goal,88,a
2020-2021,002c4e89,Lucas Moura,2b622f01,goal,25,h
2020-2021,002c4e89,Callum Wilson,c596fcb0,penalty_goal,90+7,a
2020-2021,31c2a061,Riyad Mahrez,892d5bb1,goal,4,h
2020-2021,31c2a061,Nathan Aké,eaeca114,goal,84,h
2020-2021,31c2a061,Jamie Vardy,45963054,penalty_goal,37,a
2020-2021,31c2a061,Jamie Vardy,45963054,goal,54,a
2020-2021,31c2a061,Jamie Vardy,45963054,penalty_goal,58,a
2020-2021,31c2a061,James Maddison,ee38d9c5,goal,77,a
2020-2021,31c2a061,Youri Tielemans,56f7a928,penalty_goal,88,a
2020-2021,a223dd70,Jarrod Bowen,79c84d1c,goal,17,h
2020-2021,a223dd70,Jarrod Bowen,79c84d1c,goal,57,h
2020-2021,a223dd70,Raúl Jiménez,b561db50,own_goal,66,h
2020-2021,a223dd70,Sébastien Haller,ba115a40,goal,90+3,h
2020-2021,6b258be0,Jack Grealish,b0b4fd3e,goal,4,a
2020-2021,6b258be0,Conor Hourihane,fcab00a0,goal,15,a
2020-2021,6b258be0,Tyrone Mings,8397a50c,goal,48,a
2020-2021,ebe4e309,Sadio Mané,c691bfe2,goal,28,h
2020-2021,ebe4e309,Andrew Robertson,2e4f5f03,goal,34,h
2020-2021,ebe4e309,Diogo Jota,178ae8f8,goal,88,h
2020-2021,ebe4e309,Alexandre Lacazette,9dbb75ca,goal,25,a
2020-2021,d97aa1b5,Ben Chilwell,d2424d1b,goal,50,h
2020-2021,d97aa1b5,Kurt Zouma,ce4246f5,goal,66,h
2020-2021,d97aa1b5,Jorginho,45db685d,penalty_goal,78,h
2020-2021,d97aa1b5,Jorginho,45db685d,penalty_goal,82,h
2020-2021,3cbb397e,Dominic Calvert-Lewin,59e6e5bf,goal,16,h
2020-2021,3cbb397e,Yerry Mina,6d5701f2,goal,45+2,h
2020-2021,3cbb397e,James Rodríguez,715bf047,goal,52,h
2020-2021,3cbb397e,James Rodríguez,715bf047,goal,70,h
2020-2021,3cbb397e,Neal Maupay,4bcf39f6,goal,41,a
2020-2021,3cbb397e,Yves Bissouma,6c203af0,goal,90+2,a
2020-2021,5ce15b58,Rodrigo,1fb1c435,goal,59,h
2020-2021,5ce15b58,Raheem Sterling,b400bde0,goal,17,a
2020-2021,34ba607f,Allan Saint-Maximin,2b16cb1a,goal,14,h
2020-2021,34ba607f,Callum Wilson,c596fcb0,goal,65,h
2020-2021,34ba607f,Callum Wilson,c596fcb0,penalty_goal,77,h
2020-2021,34ba607f,Ashley Westwood,495945ef,goal,61,a
2020-2021,a29866ec,Michail Antonio,ac05f970,goal,14,a
2020-2021,a29866ec,Pablo Fornals,82927de4,goal,34,a
2020-2021,a29866ec,Jarrod Bowen,79c84d1c,goal,83,a
2020-2021,39864083,Moussa Djenepo,254147d4,goal,41,h
2020-2021,39864083,Oriol Romeu,4b511457,goal,69,h
2020-2021,09725cb3,Bukayo Saka,bc7dc64d,goal,61,h
2020-2021,09725cb3,Nicolas Pépé,57e3f0c7,goal,64,h
2020-2021,09725cb3,David McGoldrick,dbe56a33,goal,83,a
2020-2021,8f989671,Pedro Neto,7ba2eaa9,goal,56,h
2020-2021,cded7e69,Bruno Fernandes,507c7bdf,penalty_goal,2,h
2020-2021,cded7e69,Anthony Martial,8b788c01,red_card,28,h
2020-2021,cded7e69,Tanguy Ndombele,5cdddffa,goal,4,a
2020-2021,cded7e69,Son Heung-min,92e7e919,goal,7,a
2020-2021,cded7e69,Harry Kane,21a66f6a,goal,30,a
2020-2021,cded7e69,Son Heung-min,92e7e919,goal,37,a
2020-2021,cded7e69,Serge Aurier,5c2b4f07,goal,51,a
2020-2021,cded7e69,Harry Kane,21a66f6a,penalty_goal,79,a
2020-2021,14a7771b,Ollie Watkins,aed3a70f,goal,4,h
2020-2021,14a7771b,Ollie Watkins,aed3a70f,goal,22,h
2020-2021,14a7771b,John McGinn,90f91999,goal,35,h
2020-2021,14a7771b,Ollie Watkins,aed3a70f,goal,39,h
2020-2021,14a7771b,Ross Barkley,3a24769f,goal,55,h
2020-2021,14a7771b,Jack Grealish,b0b4fd3e,goal,66,h
2020-2021,14a7771b,Jack Grealish,b0b4fd3e,goal,75,h
2020-2021,14a7771b,Mohamed Salah,e342ad68,goal,33,a
2020-2021,14a7771b,Mohamed Salah,e342ad68,goal,60,a
2020-2021,6da04e2d,Michael Keane,c5b7c315,goal,19,h
2020-2021,6da04e2d,Dominic Calvert-Lewin,59e6e5bf,goal,81,h
2020-2021,6da04e2d,Richarlison,fa031b34,red_card,90,h
2020-2021,6da04e2d,Sadio Mané,c691bfe2,goal,3,a
2020-2021,6da04e2d,Mohamed Salah,e342ad68,goal,72,a
2020-2021,9bd558f5,Timo Werner,49fe9070,goal,15,h
2020-2021,9bd558f5,Timo Werner,49fe9070,goal,28,h
2020-2021,9bd558f5,Kai Havertz,fed7cb61,goal,59,h
2020-2021,9bd558f5,Danny Ings,07802f7f,goal,43,a
2020-2021,9bd558f5,Che Adams,f2bf1b0f,goal,57,a
2020-2021,9bd558f5,Jannik Vestergaard,1900032e,goal,90+2,a
2020-2021,e95b8546,Raheem Sterling,b400bde0,goal,23,h
2020-2021,0b8239de,Luke Shaw,9c94165b,own_goal,2,h
2020-2021,0b8239de,Harry Maguire,d8931174,goal,23,a
2020-2021,0b8239de,Bruno Fernandes,507c7bdf,goal,86,a
2020-2021,0b8239de,Aaron Wan-Bissaka,9e525177,goal,90,a
2020-2021,0b8239de,Marcus Rashford,a1d5bd30,goal,90+6,a
2020-2021,5529e7a0,Billy Sharp,e8c9f4e9,penalty_goal,85,h
2020-2021,5529e7a0,Ademola Lookman,7c104bb7,goal,77,a
2020-2021,e96818bc,Wilfried Zaha,b2bc3b1f,penalty_goal,19,h
2020-2021,e96818bc,Alexis Mac Allister,83d074ff,goal,90,a
2020-2021,e96818bc,Lewis Dunk,282f75f3,red_card,90+3,a
2020-2021,17f0eec9,Son Heung-min,92e7e919,goal,1,h
2020-2021,17f0eec9,Harry Kane,21a66f6a,goal,8,h
2020-2021,17f0eec9,Harry Kane,21a66f6a,goal,16,h
2020-2021,17f0eec9,Fabián Balbuena,3626f7d9,goal,82,a
2020-2021,17f0eec9,Davinson Sánchez,da7b447d,own_goal,85,a
2020-2021,17f0eec9,Manuel Lanzini,26f6dca8,goal,90+4,a
2020-2021,7751d8c1,Ross Barkley,3a24769f,goal,90+1,a
2020-2021,6a2c4518,Raúl Jiménez,b561db50,goal,70,a
2020-2021,873ab775,Patrick Bamford,93feac6e,goal,55,a
2020-2021,873ab775,Patrick Bamford,93feac6e,goal,67,a
2020-2021,873ab775,Patrick Bamford,93feac6e,goal,74,a
2020-2021,2b0c0eca,Michail Antonio,ac05f970,goal,18,h
2020-2021,2b0c0eca,Phil Foden,ed1e53f3,goal,51,a
2020-2021,8d896969,Aboubakar Kamara,4047c976,red_card,88,h
2020-2021,8d896969,Tom Cairney,a8748947,goal,90+5,h
2020-2021,8d896969,Jaïro Riedewald,7a1f2c08,goal,8,a
2020-2021,8d896969,Wilfried Zaha,b2bc3b1f,goal,64,a
2020-2021,0bc8d984,Roberto Firmino,4c370d81,goal,41,h
2020-2021,0bc8d984,Diogo Jota,178ae8f8,goal,64,h
2020-2021,0bc8d984,Sander Berge,d0b6129f,penalty_goal,13,a
2020-2021,6439c025,James Ward-Prowse,3515d404,goal,27,h
2020-2021,6439c025,Che Adams,f2bf1b0f,goal,35,h
2020-2021,6439c025,Lucas Digne,1b84dbe1,red_card,72,a
2020-2021,76661e3c,Raúl Jiménez,b561db50,goal,80,h
2020-2021,76661e3c,Jacob Murphy,de112b84,goal,89,a
2020-2021,bcd3a9b4,Jamie Vardy,45963054,goal,80,a
2020-2021,26452511,Jake Livermore,b98570d1,own_goal,40,h
2020-2021,26452511,Karlan Grant,87f7500e,goal,83,a
2020-2021,4931660e,Son Heung-min,92e7e919,goal,76,a
2020-2021,e1741638,Rayan Aït Nouri,9b398aea,goal,18,h
2020-2021,e1741638,Daniel Podence,7fcc71d8,goal,27,h
2020-2021,e1741638,Luka Milivojević,2ce2508a,red_card,86,a
2020-2021,9aadc93d,Kyle Walker,86dd77d1,goal,28,a
2020-2021,0f158c5c,Hakim Ziyech,6622454d,goal,26,a
2020-2021,0f158c5c,Kurt Zouma,ce4246f5,goal,63,a
2020-2021,0f158c5c,Timo Werner,49fe9070,goal,70,a
2020-2021,56ad8025,Mohamed Salah,e342ad68,penalty_goal,42,h
2020-2021,56ad8025,Diogo Jota,178ae8f8,goal,85,h
2020-2021,56ad8025,Pablo Fornals,82927de4,goal,10,a
2020-2021,235264ac,Tyrone Mings,8397a50c,goal,62,h
2020-2021,235264ac,Ollie Watkins,aed3a70f,penalty_goal,90+3,h
2020-2021,235264ac,Jack Grealish,b0b4fd3e,goal,90+7,h
2020-2021,235264ac,Jannik Vestergaard,1900032e,goal,20,a
2020-2021,235264ac,James Ward-Prowse,3515d404,goal,33,a
2020-2021,235264ac,James Ward-Prowse,3515d404,goal,45,a
2020-2021,235264ac,Danny Ings,07802f7f,goal,58,a
2020-2021,448a43ee,Callum Wilson,c596fcb0,penalty_goal,56,h
2020-2021,448a43ee,Callum Wilson,c596fcb0,goal,84,h
2020-2021,448a43ee,Dominic Calvert-Lewin,59e6e5bf,goal,90+1,a
2020-2021,75dd1359,Pierre-Emerick Aubameyang,d5dd5f1f,penalty_goal,69,a
2020-2021,1d01ff0c,Harry Kane,21a66f6a,penalty_goal,13,h
2020-2021,1d01ff0c,Gareth Bale,a58bb1e1,goal,73,h
2020-2021,1d01ff0c,Tariq Lamptey,f4e433d4,goal,56,a
2020-2021,f2b91282,Bobby Reid,0f7533cd,goal,26,h
2020-2021,f2b91282,Ola Aina,246d153b,goal,30,h
2020-2021,55d775ec,Stuart Dallas,67ca8566,goal,48,h
2020-2021,55d775ec,Harvey Barnes,3ea50f67,goal,2,a
2020-2021,55d775ec,Youri Tielemans,56f7a928,goal,21,a
2020-2021,55d775ec,Jamie Vardy,45963054,goal,76,a
2020-2021,55d775ec,Youri Tielemans,56f7a928,penalty_goal,90+1,a
2020-2021,4117b695,Che Adams,f2bf1b0f,goal,7,h
2020-2021,4117b695,Stuart Armstrong,97333cf5,goal,82,h
2020-2021,ab9f408d,Bernard,ab4b3e35,goal,19,h
2020-2021,ab9f408d,Bruno Fernandes,507c7bdf,goal,25,a
2020-2021,ab9f408d,Bruno Fernandes,507c7bdf,goal,32,a
2020-2021,ab9f408d,Edinson Cavani,527f063d,goal,90+5,a
2020-2021,527aee54,Scott Dann,52105203,goal,12,h
2020-2021,527aee54,Eberechi Eze,ae4fc6a4,goal,22,h
2020-2021,527aee54,Hélder Costa,f13d02a6,own_goal,42,h
2020-2021,527aee54,Jordan Ayew,da052c14,goal,70,h
2020-2021,527aee54,Patrick Bamford,93feac6e,goal,27,a
2020-2021,089916ee,Tammy Abraham,f586779e,goal,23,h
2020-2021,089916ee,Ben Chilwell,d2424d1b,goal,34,h
2020-2021,089916ee,Thiago Silva,86e7deaf,goal,77,h
2020-2021,089916ee,Timo Werner,49fe9070,goal,80,h
2020-2021,089916ee,David McGoldrick,dbe56a33,goal,9,a
2020-2021,f075fddc,Tomáš Souček,6613c819,goal,90+1,h
2020-2021,90c0e34c,Harry Kane,21a66f6a,goal,88,a
2020-2021,8407be08,Jamie Vardy,45963054,penalty_goal,15,h
2020-2021,26382194,Gabriel Jesus,b66315ae,goal,31,h
2020-2021,26382194,Mohamed Salah,e342ad68,penalty_goal,13,a
2020-2021,90fd3597,Bukayo Saka,bc7dc64d,own_goal,25,a
2020-2021,90fd3597,Ollie Watkins,aed3a70f,goal,72,a
2020-2021,90fd3597,Ollie Watkins,aed3a70f,goal,75,a
2020-2021,dbcba6c6,Federico Fernández,f25b010f,own_goal,10,a
2020-2021,dbcba6c6,Tammy Abraham,f586779e,goal,65,a
2020-2021,dea0df40,Ezri Konsa,0313a347,goal,47,h
2020-2021,dea0df40,Danny Welbeck,ce5143da,goal,12,a
2020-2021,dea0df40,Solly March,bb5fbd2b,goal,56,a
2020-2021,dea0df40,Tariq Lamptey,f4e433d4,yellow_red_card,90+1,a
2020-2021,8a038069,Son Heung-min,92e7e919,goal,5,h
2020-2021,8a038069,Giovani Lo Celso,d7553721,goal,65,h
2020-2021,50004f43,Bruno Fernandes,507c7bdf,penalty_goal,56,h
2020-2021,13524225,Bobby Reid,0f7533cd,goal,15,h
2020-2021,13524225,Ruben Loftus-Cheek,e97fd090,goal,70,h
2020-2021,13524225,Dominic Calvert-Lewin,59e6e5bf,goal,1,a
2020-2021,13524225,Dominic Calvert-Lewin,59e6e5bf,goal,29,a
2020-2021,13524225,Abdoulaye Doucouré,02b29014,goal,35,a
2020-2021,8ed7d991,Sébastien Haller,ba115a40,goal,56,a
2020-2021,0dd6b39b,Nicolas Pépé,57e3f0c7,red_card,51,a
2020-2021,cc230451,Jonny Evans,f8fcd2a5,own_goal,21,h
2020-2021,cc230451,Diogo Jota,178ae8f8,goal,41,h
2020-2021,cc230451,Roberto Firmino,4c370d81,goal,86,h
2020-2021,1dde1d03,Chris Wood,4e9a0555,goal,8,h
2020-2021,e5bfd125,Pedro Neto,7ba2eaa9,goal,75,h
2020-2021,e5bfd125,Theo Walcott,1ecb65be,goal,58,a
2020-2021,0d5962be,Callum Wilson,c596fcb0,goal,88,a
2020-2021,0d5962be,Joelinton,c17bfb65,goal,89,a
2020-2021,31baf354,Pascal Groß,8aec0537,penalty_goal,90+3,h
2020-2021,31baf354,Diogo Jota,178ae8f8,goal,60,a
2020-2021,2069ffbc,Riyad Mahrez,892d5bb1,goal,6,h
2020-2021,2069ffbc,Riyad Mahrez,892d5bb1,goal,22,h
2020-2021,2069ffbc,Benjamin Mendy,5271c8f1,goal,41,h
2020-2021,2069ffbc,Ferrán Torres,9e1035f8,goal,66,h
2020-2021,2069ffbc,Riyad Mahrez,892d5bb1,goal,69,h
2020-2021,3eeb39c5,Raphael Dias Belloli,3423f250,goal,79,a
2020-2021,bd68404c,Conor Gallagher,c2731c10,goal,13,h
2020-2021,e0a84e7e,Jan Bednarek,4115ce4e,goal,23,h
2020-2021,e0a84e7e,James Ward-Prowse,3515d404,goal,33,h
2020-2021,e0a84e7e,Bruno Fernandes,507c7bdf,goal,59,a
2020-2021,e0a84e7e,Edinson Cavani,527f063d,goal,74,a
2020-2021,e0a84e7e,Edinson Cavani,527f063d,goal,90+2,a
2020-2021,fa17687c,Gabriel Dos Santos,67ac5bb8,goal,30,h
2020-2021,fa17687c,Pedro Neto,7ba2eaa9,goal,27,a
2020-2021,fa17687c,Daniel Podence,7fcc71d8,goal,42,a
2020-2021,ae493b10,Harvey Barnes,3ea50f67,goal,86,h
2020-2021,ae493b10,Ademola Lookman,7c104bb7,goal,30,a
2020-2021,ae493b10,Ivan Cavaleiro,979b811d,penalty_goal,38,a
2020-2021,2f67603c,Angelo Ogbonna,74b2cd7e,goal,2,h
2020-2021,2f67603c,Jarrod Bowen,79c84d1c,goal,46,h
2020-2021,2f67603c,Jack Grealish,b0b4fd3e,goal,25,a
2020-2021,399c7e1c,Robbie Brady,96bb8cc2,goal,3,h
2020-2021,399c7e1c,Dominic Calvert-Lewin,59e6e5bf,goal,45+3,a
2020-2021,887dfef6,Raheem Sterling,b400bde0,goal,5,h
2020-2021,887dfef6,Kevin De Bruyne,e46012d4,penalty_goal,26,h
2020-2021,c2206b97,Tomáš Souček,6613c819,goal,38,h
2020-2021,c2206b97,Paul Pogba,867239d3,goal,65,a
2020-2021,c2206b97,Mason Greenwood,58eee997,goal,68,a
2020-2021,c2206b97,Marcus Rashford,a1d5bd30,goal,78,a
2020-2021,419abbc0,Olivier Giroud,16ceb862,goal,27,h
2020-2021,419abbc0,Kurt Zouma,ce4246f5,goal,61,h
2020-2021,419abbc0,Christian Pulisic,1bf33a9a,goal,90+3,h
2020-2021,419abbc0,Patrick Bamford,93feac6e,goal,4,a
2020-2021,ac9d70e3,Conor Gallagher,c2731c10,goal,30,h
2020-2021,ac9d70e3,Matheus Pereira,b04ee927,red_card,34,h
2020-2021,ac9d70e3,Darnell Furlong,3ec9195b,own_goal,8,a
2020-2021,ac9d70e3,Wilfried Zaha,b2bc3b1f,goal,55,a
2020-2021,ac9d70e3,Christian Benteke,ab070c55,goal,59,a
2020-2021,ac9d70e3,Wilfried Zaha,b2bc3b1f,goal,68,a
2020-2021,ac9d70e3,Christian Benteke,ab070c55,goal,82,a
2020-2021,c1c08638,Oliver McBurnie,78b8ac63,goal,26,h
2020-2021,c1c08638,Ayoze Pérez,819aa8e7,goal,24,a
2020-2021,c1c08638,Jamie Vardy,45963054,goal,90,a
2020-2021,35abfa2f,Son Heung-min,92e7e919,goal,13,h
2020-2021,35abfa2f,Harry Kane,21a66f6a,goal,45+1,h
2020-2021,25249736,Mohamed Salah,e342ad68,goal,24,h
2020-2021,25249736,Georginio Wijnaldum,eb58eef0,goal,58,h
2020-2021,25249736,Joël Matip,b217ef29,goal,67,h
2020-2021,25249736,Nélson Semedo,d04b94db,own_goal,78,h
2020-2021,32356abc,Pascal Groß,8aec0537,penalty_goal,26,h
2020-2021,32356abc,Jannik Vestergaard,1900032e,goal,45,a
2020-2021,32356abc,Danny Ings,07802f7f,penalty_goal,81,a
2020-2021,2d36ffad,Mateusz Klich,282679b4,penalty_goal,6,h
2020-2021,2d36ffad,Tomáš Souček,6613c819,goal,25,a
2020-2021,2d36ffad,Angelo Ogbonna,74b2cd7e,goal,80,a
2020-2021,f809a014,João Moutinho,f5a00fa4,yellow_red_card,90+5,h
2020-2021,f809a014,Douglas Luiz,6f7d826d,yellow_red_card,85,a
2020-2021,f809a014,Anwar El Ghazi,ffa90327,penalty_goal,90+4,a
2020-2021,4a2a6f14,Miguel Almirón,862a1c15,goal,1,h
2020-2021,4a2a6f14,Dwight Gayle,e58a03c6,goal,82,h
2020-2021,4a2a6f14,Darnell Furlong,3ec9195b,goal,50,a
2020-2021,4847e3c3,Gylfi Sigurðsson,76dd1480,penalty_goal,22,h
2020-2021,9bec56c6,Che Adams,f2bf1b0f,goal,34,h
2020-2021,9bec56c6,Stuart Armstrong,97333cf5,goal,62,h
2020-2021,9bec56c6,Nathan Redmond,ab651565,goal,83,h
2020-2021,9b0e267e,Jeffrey Schlupp,3312f911,goal,81,h
2020-2021,9b0e267e,Harry Kane,21a66f6a,goal,23,a
2020-2021,5abb0bd1,Bobby Reid,0f7533cd,goal,25,h
2020-2021,5abb0bd1,Mohamed Salah,e342ad68,penalty_goal,79,a
2020-2021,e4dc55d0,Granit Xhaka,e61b8aee,red_card,58,h
2020-2021,e4dc55d0,Pierre-Emerick Aubameyang,d5dd5f1f,own_goal,73,a
2020-2021,964e6470,James Maddison,ee38d9c5,goal,27,h
2020-2021,964e6470,Jamie Vardy,45963054,goal,41,h
2020-2021,964e6470,James Maddison,ee38d9c5,goal,44,h
2020-2021,20bd0665,Daniel Podence,7fcc71d8,goal,66,h
2020-2021,20bd0665,Pedro Neto,7ba2eaa9,goal,90+5,h
2020-2021,20bd0665,Olivier Giroud,16ceb862,goal,49,a
2020-2021,40b42ca1,İlkay Gündoğan,819b3158,goal,30,h
2020-2021,40b42ca1,Rúben Dias,31c69ef1,own_goal,43,a
2020-2021,0ceceee4,Pierre-Emerick Aubameyang,d5dd5f1f,goal,52,h
2020-2021,0ceceee4,Gabriel Dos Santos,67ac5bb8,yellow_red_card,62,h
2020-2021,0ceceee4,Theo Walcott,1ecb65be,goal,18,a
2020-2021,b30c816c,Richarlison,fa031b34,goal,21,a
2020-2021,b30c816c,Mason Holgate,d0042ab9,goal,72,a
2020-2021,b52c441b,Patrick Bamford,93feac6e,goal,35,h
2020-2021,b52c441b,Rodrigo,1fb1c435,goal,61,h
2020-2021,b52c441b,Stuart Dallas,67ca8566,goal,77,h
2020-2021,b52c441b,Ezgjan Alioski,1a7fcf39,goal,85,h
2020-2021,b52c441b,Jack Harrison,aa849a12,goal,88,h
2020-2021,b52c441b,Jeff Hendrick,989d5705,goal,26,a
2020-2021,b52c441b,Ciaran Clark,2b91cf8e,goal,65,a
2020-2021,98bf02e0,Sébastien Haller,ba115a40,goal,55,h
2020-2021,98bf02e0,Christian Benteke,ab070c55,goal,34,a
2020-2021,98bf02e0,Christian Benteke,ab070c55,yellow_red_card,70,a
2020-2021,966f86fe,Mohamed Salah,e342ad68,goal,26,h
2020-2021,966f86fe,Roberto Firmino,4c370d81,goal,90,h
2020-2021,966f86fe,Son Heung-min,92e7e919,goal,33,a
2020-2021,3b3cc5f6,David McGoldrick,dbe56a33,goal,5,h
2020-2021,3b3cc5f6,David McGoldrick,dbe56a33,goal,87,h
2020-2021,3b3cc5f6,Marcus Rashford,a1d5bd30,goal,26,a
2020-2021,3b3cc5f6,Anthony Martial,8b788c01,goal,33,a
2020-2021,3b3cc5f6,Marcus Rashford,a1d5bd30,goal,51,a
2020-2021,d05715a8,Takumi Minamino,f833a830,goal,3,a
2020-2021,d05715a8,Sadio Mané,c691bfe2,goal,35,a
2020-2021,d05715a8,Roberto Firmino,4c370d81,goal,44,a
2020-2021,d05715a8,Jordan Henderson,935e6b8f,goal,52,a
2020-2021,d05715a8,Roberto Firmino,4c370d81,goal,68,a
2020-2021,d05715a8,Mohamed Salah,e342ad68,goal,81,a
2020-2021,d05715a8,Mohamed Salah,e342ad68,goal,84,a
2020-2021,8d4a02ae,Raheem Sterling,b400bde0,goal,16,a
2020-2021,72fa1993,Rob Holding,d79a8c87,own_goal,22,h
2020-2021,72fa1993,Yerry Mina,6d5701f2,goal,45,h
