season,matchid,player,playerid,eventtype,minute,team
2020-2021,bf52349b,Alexandre Lacazette,9dbb75ca,goal,8,a
2020-2021,bf52349b,Gabriel Dos Santos,67ac5bb8,goal,49,a
2020-2021,bf52349b,Pierre-Emerick Aubameyang,d5dd5f1f,goal,57,a
2020-2021,db261cb0,Wilfried Zaha,b2bc3b1f,goal,13,h
2020-2021,21b58926,Mohamed Salah,e342ad68,penalty_goal,4,h
2020-2021,21b58926,Virgil van Dijk,e06683ca,goal,20,h
2020-2021,21b58926,Mohamed Salah,e342ad68,goal,33,h
2020-2021,21b58926,Mohamed Salah,e342ad68,penalty_goal,88,h
2020-2021,21b58926,Jack Harrison,aa849a12,goal,12,a
2020-2021,21b58926,Patrick Bamford,93feac6e,goal,30,a
2020-2021,21b58926,Mateusz Klich,282679b4,goal,66,a
2020-2021,78495ced,Callum Wilson,c596fcb0,goal,56,a
2020-2021,78495ced,Jeff Hendrick,989d5705,goal,87,a
2020-2021,7dd01ca9,Timothy Castagne,197640fd,goal,56,a
2020-2021,7dd01ca9,Jamie Vardy,45963054,penalty_goal,74,a
2020-2021,7dd01ca9,Jamie Vardy,45963054,penalty_goal,84,a
2020-2021,fc7f9aa1,Dominic Calvert-Lewin,59e6e5bf,goal,55,a
2020-2021,a3eb7a37,Raúl Jiménez,b561db50,goal,3,a
2020-2021,a3eb7a37,Romain Saïss,9fbbcf39,goal,6,a
2020-2021,9d7641eb,Leandro Trossard,38ceb24a,goal,54,h
2020-2021,9d7641eb,Jorginho,45db685d,penalty_goal,23,a
2020-2021,9d7641eb,Reece James,1265a93a,goal,56,a
2020-2021,9d7641eb,Kurt Zouma,ce4246f5,goal,66,a
2020-2021,45bd1880,Dominic Calvert-Lewin,59e6e5bf,goal,31,h
2020-2021,45bd1880,James Rodríguez,715bf047,goal,45,h
2020-2021,45bd1880,Michael Keane,c5b7c315,goal,54,h
2020-2021,45bd1880,Dominic Calvert-Lewin,59e6e5bf,goal,62,h
2020-2021,45bd1880,Dominic Calvert-Lewin,59e6e5bf,goal,66,h
2020-2021,45bd1880,Grady Diangana,f522d7ec,goal,10,a
2020-2021,45bd1880,Kieran Gibbs,46ee5234,red_card,45+1,a
2020-2021,45bd1880,Matheus Pereira,b04ee927,goal,47,a
2020-2021,583c2b60,Hélder Costa,f13d02a6,goal,5,h
2020-2021,583c2b60,Mateusz Klich,282679b4,penalty_goal,41,h
2020-2021,583c2b60,Patrick Bamford,93feac6e,goal,50,h
2020-2021,583c2b60,Hélder Costa,f13d02a6,goal,57,h
2020-2021,583c2b60,Aleksandar Mitrović,3925dbd6,penalty_goal,34,a
2020-2021,583c2b60,Bobby Reid,0f7533cd,goal,62,a
2020-2021,583c2b60,Aleksandar Mitrović,3925dbd6,goal,67,a
2020-2021,97279323,Donny van de Beek,50dc94ce,goal,80,h
2020-2021,97279323,Andros Townsend,b28bbd58,goal,7,a
2020-2021,97279323,Wilfried Zaha,b2bc3b1f,penalty_goal,74,a
2020-2021,97279323,Wilfried Zaha,b2bc3b1f,goal,85,a
2020-2021,f4835ec2,Alexandre Lacazette,9dbb75ca,goal,25,h
2020-2021,f4835ec2,Eddie Nketiah,a53649b7,goal,85,h
2020-2021,f4835ec2,Michail Antonio,ac05f970,goal,45,a
2020-2021,967efd56,Danny Ings,07802f7f,goal,32,h
2020-2021,967efd56,Danny Ings,07802f7f,penalty_goal,90,h
2020-2021,967efd56,Son Heung-min,92e7e919,goal,45+2,a
2020-2021,967efd56,Son Heung-min,92e7e919,goal,47,a
2020-2021,967efd56,Son Heung-min,92e7e919,goal,64,a
2020-2021,967efd56,Son Heung-min,92e7e919,goal,73,a
2020-2021,967efd56,Harry Kane,21a66f6a,goal,82,a
2020-2021,845f6a86,Neal Maupay,4bcf39f6,penalty_goal,4,a
2020-2021,845f6a86,Neal Maupay,4bcf39f6,goal,7,a
2020-2021,845f6a86,Aaron Connolly,27c01749,goal,83,a
2020-2021,845f6a86,Yves Bissouma,6c203af0,red_card,89,a
2020-2021,c64e5792,Andreas Christensen,1cb49278,red_card,45+1,h
2020-2021,c64e5792,Sadio Mané,c691bfe2,goal,50,a
2020-2021,c64e5792,Sadio Mané,c691bfe2,goal,54,a
2020-2021,465b25a8,Harvey Barnes,3ea50f67,goal,20,h
2020-2021,465b25a8,Erik Pieters,1ef37668,own_goal,50,h
2020-2021,465b25a8,James Justin,fb614c44,goal,61,h
2020-2021,465b25a8,Dennis Praet,86695068,goal,79,h
2020-2021,465b25a8,Chris Wood,4e9a0555,goal,10,a
2020-2021,465b25a8,Jimmy Dunne,1fdfd6da,goal,73,a
2020-2021,98b4b5b6,Ezri Konsa,0313a347,goal,63,h
2020-2021,98b4b5b6,John Egan,debe38a0,red_card,12,a
2020-2021,1c17eca3,Raúl Jiménez,b561db50,goal,78,h
2020-2021,1c17eca3,Kevin De Bruyne,e46012d4,penalty_goal,20,a
2020-2021,1c17eca3,Phil Foden,ed1e53f3,goal,32,a
2020-2021,1c17eca3,Gabriel Jesus,b66315ae,goal,90+5,a
2020-2021,21495573,Neal Maupay,4bcf39f6,penalty_goal,40,h
2020-2021,21495573,Solly March,bb5fbd2b,goal,90+5,h
2020-2021,21495573,Lewis Dunk,282f75f3,own_goal,43,a
2020-2021,21495573,Marcus Rashford,a1d5bd30,goal,55,a
2020-2021,21495573,Bruno Fernandes,507c7bdf,penalty_goal,90+10,a
2020-2021,7387a72e,Cheikhou Kouyaté,8d3c902d,goal,26,h
2020-2021,7387a72e,Dominic Calvert-Lewin,59e6e5bf,goal,10,a
2020-2021,7387a72e,Richarlison,fa031b34,penalty_goal,40,a
2020-2021,d725a16c,Callum Robinson,e75750a3,goal,4,h
2020-2021,d725a16c,Callum Robinson,e75750a3,goal,25,h
2020-2021,d725a16c,Kyle Bartley,18e96f64,goal,27,h
2020-2021,d725a16c,Mason Mount,9674002f,goal,55,a
