season,matchid,player,playerid,eventtype,minute,team
2019-2020,94c789ed,Luka Jović,4d8cd038,goal,90+2,a
2019-2020,24e7efeb,Iago Aspas,7dcf86f6,goal,78,h
2019-2020,24e7efeb,Pione Sisto,fd9c4805,goal,90+1,h
2019-2020,24e7efeb,Youssef En-Nesyri,04e17fd5,goal,23,a
2019-2020,4d233fd1,Sergio Canales,a6de370d,penalty_goal,6,h
2019-2020,4d233fd1,Nabil Fekir,bece776f,goal,26,h
2019-2020,4d233fd1,Nabil Fekir,bece776f,yellow_red_card,76,h
2019-2020,4d233fd1,Frenkie de Jong,1bacc518,goal,9,a
2019-2020,4d233fd1,Sergio Busquets,5ab0ea87,goal,45+3,a
2019-2020,4d233fd1,Clément Lenglet,4f28a6ff,goal,72,a
2019-2020,4d233fd1,Clément Lenglet,4f28a6ff,yellow_red_card,79,a
2019-2020,71fa581d,Gabriel Paulista,b7ca5c51,goal,40,h
2019-2020,71fa581d,Geoffrey Kondogbia,cce181df,goal,59,h
2019-2020,71fa581d,Marcos Llorente,02c15616,goal,15,a
2019-2020,71fa581d,Thomas Partey,529f49ab,goal,43,a
2019-2020,7053a5ed,Cucho,71b47ab9,goal,63,h
2019-2020,ba5d3fcd,Antoine Griezmann,df69b544,goal,33,h
2019-2020,ba5d3fcd,Sergi Roberto,335fa267,goal,39,h
2019-2020,ba5d3fcd,Ángel Rodríguez,8cfc2f69,goal,66,a
2019-2020,b78ef82e,Gerard Moreno,81f0781e,goal,9,h
2019-2020,b78ef82e,Moi Gómez,5a626448,goal,61,h
2019-2020,b78ef82e,Borja Mayoral,64e8ed6d,goal,56,a
2019-2020,f5f66942,Antonio Puertas,c77a8043,goal,81,h
2019-2020,f5f66942,Carlos Fernández,e08647d6,goal,90+6,h
2019-2020,f5f66942,Sergi Guardiola,32974271,goal,56,a
2019-2020,27daefe1,Lucas Ocampos,a08b974a,goal,15,h
2019-2020,27daefe1,Suso,4e219ad2,goal,80,h
2019-2020,27daefe1,Adri Embarba,db8f0eba,goal,35,a
2019-2020,27daefe1,Wu Lei,e3fabb0a,goal,50,a
2019-2020,27daefe1,Víctor Sánchez,ad4d0985,yellow_red_card,69,a
2019-2020,e85692ec,Borja Iglesias,75645f0e,red_card,90+3,a
2019-2020,888ab658,Oier Sanjurjo,466824fb,goal,29,a
2019-2020,b1ce0614,Toni Kroos,6ce1f46f,goal,52,h
2019-2020,b1ce0614,Sergio Ramos,08511d65,penalty_goal,65,h
2019-2020,b1ce0614,Fyodor Smolov,cbbfa2e7,goal,7,a
2019-2020,b1ce0614,Santi Mina,0b90bb97,goal,85,a
2019-2020,efc926f1,Sergio Canales,a6de370d,penalty_goal,19,h
2019-2020,efc926f1,Nabil Fekir,bece776f,penalty_goal,35,h
2019-2020,efc926f1,Joaquín,4c5b14d2,goal,48,h
2019-2020,efc926f1,Cucho,71b47ab9,goal,16,a
2019-2020,efc926f1,Ante Budimir,8f3565b3,goal,27,a
2019-2020,efc926f1,Takefusa Kubo,16aa3654,goal,70,a
2019-2020,b99eea98,Filip Bradarić,605873e1,red_card,21,h
2019-2020,b99eea98,Iago Aspas,7dcf86f6,goal,62,h
2019-2020,53d0e7ab,Lionel Messi,d70ce98e,goal,14,h
2019-2020,53d0e7ab,Lionel Messi,d70ce98e,goal,37,h
2019-2020,53d0e7ab,Lionel Messi,d70ce98e,goal,40,h
2019-2020,53d0e7ab,Lionel Messi,d70ce98e,goal,87,h
2019-2020,53d0e7ab,Arthur Melo,48b3dd60,goal,89,h
2019-2020,30eea083,Mikel Merino,d080ed5e,goal,12,h
2019-2020,30eea083,Nacho Monreal,d4cb83cc,goal,45+1,h
2019-2020,30eea083,Adnan Januzaj,4737cebe,goal,48,h
2019-2020,dec67929,José Luis Morales,4a478107,goal,79,h
2019-2020,d97cfd89,Darwin Machís,ed6ea4d9,goal,4,a
2019-2020,d97cfd89,Darwin Machís,ed6ea4d9,goal,28,a
2019-2020,d97cfd89,Dimitri Foulquier,45e17712,goal,41,a
2019-2020,8fad5b06,Lucas Pérez,a300ac7e,penalty_goal,28,h
2019-2020,8fad5b06,Rodrigo Ely,fd47b4f2,goal,90+1,h
2019-2020,8fad5b06,Raúl García,b418dbd4,goal,17,a
2019-2020,9d2646fc,Sandro Ramírez,833fb62e,goal,77,h
2019-2020,9d2646fc,Sergi Guardiola,32974271,goal,83,h
2019-2020,9d2646fc,David López,f03f284b,yellow_red_card,25,a
2019-2020,9d2646fc,Adri Embarba,db8f0eba,penalty_goal,90+3,a
2019-2020,8a009fd3,Lucas Ocampos,a08b974a,goal,43,a
2019-2020,8a009fd3,Fernando,41f32541,goal,67,a
2019-2020,8a009fd3,Jules Koundé,4d1666ff,goal,75,a
2019-2020,69d02fd4,Ángel Correa,01eb744d,goal,40,h
2019-2020,69d02fd4,Koke,55126f3b,goal,64,h
2019-2020,69d02fd4,João Félix,8aafd64f,goal,74,h
2019-2020,69d02fd4,Paco Alcácer,a7a9d95a,goal,16,a
2019-2020,253a526a,Adnan Januzaj,4737cebe,goal,60,h
2019-2020,49106479,Charles,c4b8bcf4,goal,27,h
2019-2020,49106479,Charles,c4b8bcf4,goal,48,h
2019-2020,49106479,Fabián Orellana,c90977db,goal,84,h
2019-2020,fbd44d91,Kévin Gameiro,42276181,goal,60,h
2019-2020,fbd44d91,Daniel Parejo,7460ca0d,goal,89,h
2019-2020,fbd44d91,Loren Morón,3aa4a3be,goal,90+3,a
2019-2020,7ee72c15,Guido Carrillo,8f898ba8,goal,59,h
2019-2020,7ee72c15,Lucas Pérez,a300ac7e,goal,47,a
2019-2020,aa9f48c3,Youssef En-Nesyri,04e17fd5,goal,13,h
2019-2020,aa9f48c3,Lucas Ocampos,a08b974a,goal,45+1,h
2019-2020,aa9f48c3,Youssef En-Nesyri,04e17fd5,goal,90+3,h
2019-2020,aa9f48c3,Sergio Herrera,a4995f48,red_card,54,a
2019-2020,aa9f48c3,Aridane Hernández,132ac341,goal,64,a
2019-2020,aa9f48c3,Roberto Torres,d733aa38,penalty_goal,74,a
2019-2020,6c6dc745,Raúl García,b418dbd4,penalty_goal,56,h
2019-2020,7e5d7c72,Stefan Savić,f6ac68c1,own_goal,24,h
2019-2020,7e5d7c72,Saúl Ñíguez,c14bc029,goal,46,a
2019-2020,766d9f2a,Salva Sevilla,75bd85ea,yellow_red_card,90,h
2019-2020,766d9f2a,Nemanja Maksimović,00b28772,goal,67,a
2019-2020,2c856f90,Vinicius Júnior,7111d552,goal,71,h
2019-2020,2c856f90,Mariano,5c4dc0ff,goal,90+2,h
2019-2020,3198142b,Édgar Méndez,aed746df,goal,73,h
2019-2020,3198142b,Daniel Parejo,7460ca0d,goal,34,a
2019-2020,21b55ab2,Pedro Bigas,697295b1,goal,90+2,h
2019-2020,21b55ab2,Dani Rodríguez,70f8e0bd,goal,42,a
2019-2020,21b55ab2,Takefusa Kubo,16aa3654,goal,78,a
2019-2020,628e6cb2,Álvaro Morata,129af0db,penalty_goal,32,h
2019-2020,628e6cb2,João Félix,8aafd64f,goal,36,h
2019-2020,628e6cb2,Luuk de Jong,abb3bb95,goal,19,a
2019-2020,628e6cb2,Lucas Ocampos,a08b974a,penalty_goal,43,a
2019-2020,92ad4ba9,Lionel Messi,d70ce98e,penalty_goal,81,h
2019-2020,b31c72d0,Mauro Arambarri,58afe001,yellow_red_card,82,h
2019-2020,e6a399a0,Roberto Torres,d733aa38,penalty_goal,51,h
2019-2020,e6a399a0,Diego López,73683fa9,yellow_red_card,83,a
2019-2020,c112bcb5,Sandro Ramírez,833fb62e,goal,76,h
2019-2020,c112bcb5,Unai López,88050721,goal,4,a
2019-2020,c112bcb5,Raúl García,b418dbd4,goal,24,a
2019-2020,c112bcb5,Iñaki Williams,6a99e0b1,goal,87,a
2019-2020,c112bcb5,Iñigo Córdoba,49ea92be,goal,90+3,a
2019-2020,c7b372fd,Roger Martí,0ae4e09a,goal,11,h
2019-2020,c7b372fd,Darwin Machís,ed6ea4d9,goal,60,a
2019-2020,05aa26ad,Gerard Moreno,81f0781e,goal,5,h
2019-2020,05aa26ad,Óscar Rodríguez Arnaiz,19709006,goal,47,a
2019-2020,05aa26ad,Óscar Rodríguez Arnaiz,19709006,penalty_goal,70,a
2019-2020,0cf81643,Sidnei,b14d0c5d,goal,40,h
2019-2020,0cf81643,Cristian Tello,72a99e38,goal,82,h
2019-2020,0cf81643,Karim Benzema,70d74ece,penalty_goal,45+3,a
2019-2020,30364196,Charles,c4b8bcf4,penalty_goal,90,h
2019-2020,30364196,Mikel Oyarzabal,8c3c640c,penalty_goal,16,a
2019-2020,30364196,Willian José,d87e2cae,goal,75,a
2019-2020,7a461ffc,Lucas Ocampos,a08b974a,penalty_goal,56,h
2019-2020,7a461ffc,Fernando,41f32541,goal,62,h
2019-2020,898a4a02,Djené,a4971d84,own_goal,70,h
2019-2020,898a4a02,Carlos Fernández,e08647d6,goal,79,h
2019-2020,898a4a02,David Timor,174651c8,goal,20,a
2019-2020,5649805e,Rodrigo,1fb1c435,goal,89,h
2019-2020,5649805e,Roger Martí,0ae4e09a,yellow_red_card,74,a
2019-2020,5649805e,Gonzalo Melero,3902e91b,penalty_goal,90+8,a
2019-2020,6543e250,Bernardo Espinosa,4242011c,goal,45+3,h
2019-2020,6543e250,Wu Lei,e3fabb0a,goal,47,h
2019-2020,6543e250,Fernando Pacheco,97852360,red_card,19,a
2019-2020,d931a13b,Manu Trigueros,963829d0,goal,90+1,a
2019-2020,d1187564,Óscar Rodríguez Arnaiz,19709006,penalty_goal,84,h
2019-2020,d1187564,Enes Ünal,f8eca1b6,goal,2,a
2019-2020,d1187564,Rubén Alcaraz,036bba5f,goal,54,a
2019-2020,fbb4584c,Arturo Vidal,67cdbc0e,goal,2,a
2019-2020,fbb4584c,Martin Braithwaite,fd771f95,goal,37,a
2019-2020,fbb4584c,Jordi Alba,4601e194,goal,79,a
2019-2020,fbb4584c,Lionel Messi,d70ce98e,goal,90+3,a
2019-2020,d86ddfb6,Iker Muniain,c05dfb74,goal,37,h
2019-2020,d86ddfb6,Diego Costa,a190d597,goal,39,a
2019-2020,dc0ae418,Toni Kroos,6ce1f46f,goal,4,h
2019-2020,dc0ae418,Sergio Ramos,08511d65,goal,30,h
2019-2020,dc0ae418,Marcelo,603116a7,goal,37,h
2019-2020,dc0ae418,Pedro Bigas,697295b1,goal,60,a
2019-2020,d735ba8b,Mikel Oyarzabal,8c3c640c,goal,61,h
2019-2020,d735ba8b,Adrián López,88a359d4,penalty_goal,29,a
2019-2020,fe53af24,Diego Carlos,b4a014b1,own_goal,87,h
2019-2020,fe53af24,Luuk de Jong,abb3bb95,goal,46,a
2019-2020,926f591f,Sergio Canales,a6de370d,penalty_goal,85,h
2019-2020,926f591f,Cristian Tello,72a99e38,goal,88,h
2019-2020,926f591f,Carlos Fernández,e08647d6,goal,29,a
2019-2020,926f591f,Roberto Soldado,9d66fbe3,goal,90+1,a
2019-2020,2716467d,Bernardo Espinosa,4242011c,red_card,16,a
2019-2020,759d43d9,Carlos Bacca,09a9e921,goal,16,h
2019-2020,4b82f2d2,Ansu Fati,0ba976e4,goal,42,h
2019-2020,4b82f2d2,Lionel Messi,d70ce98e,penalty_goal,69,h
2019-2020,54ac83b1,Kike,e897d8ba,goal,19,h
2019-2020,54ac83b1,Fabián Orellana,c90977db,penalty_goal,78,h
2019-2020,54ac83b1,Raúl García,b418dbd4,penalty_goal,8,a
2019-2020,54ac83b1,Asier Villalibre,57be54ec,goal,81,a
2019-2020,c1a84c5f,João Félix,8aafd64f,goal,27,a
2019-2020,c1a84c5f,João Félix,8aafd64f,goal,56,a
2019-2020,c1a84c5f,Marcos Llorente,02c15616,goal,79,a
2019-2020,c1a84c5f,Álvaro Morata,129af0db,goal,82,a
2019-2020,c1a84c5f,Yannick Carrasco,de39485a,goal,88,a
2019-2020,ef5a790b,Borja Sainz,1b40049a,goal,56,h
2019-2020,ef5a790b,Tomás Pina Isla,e54bd0a2,yellow_red_card,87,h
2019-2020,ef5a790b,Martin Agirregabiria,355c883a,goal,90+6,h
2019-2020,ef5a790b,Joseba Zaldúa,5ca20b7a,yellow_red_card,81,a
2019-2020,816aff90,Karim Benzema,70d74ece,goal,61,h
2019-2020,816aff90,Marco Asensio,45af8a54,goal,74,h
2019-2020,816aff90,Karim Benzema,70d74ece,goal,86,h
2019-2020,816aff90,Lee Kangin,8455ad90,red_card,89,a
2019-2020,c88c600c,Salva Sevilla,75bd85ea,goal,9,h
2019-2020,c88c600c,Óscar Rodríguez Arnaiz,19709006,goal,87,a
2019-2020,c760109d,Gerard Moreno,81f0781e,goal,11,a
2019-2020,5adaf0b4,David López,f03f284b,goal,28,h
2019-2020,5adaf0b4,Borja Mayoral,64e8ed6d,goal,14,a
2019-2020,5adaf0b4,Enis Bardhi,cac2537b,goal,67,a
2019-2020,5adaf0b4,Pedrosa,112521d1,own_goal,87,a
2019-2020,b4afa79b,Iñigo Martínez,3fc45c73,goal,7,h
2019-2020,0427111d,Oghenekaro Etebo,b579e83d,goal,30,h
2019-2020,0427111d,Charles,c4b8bcf4,goal,45+6,a
2019-2020,d612ca38,Vitolo,db750822,goal,81,h
2019-2020,105ec758,Jeison Murillo,b233e8e4,goal,14,h
2019-2020,105ec758,Iago Aspas,7dcf86f6,penalty_goal,20,h
2019-2020,105ec758,Rafinha,0c2ac3cb,goal,40,h
2019-2020,105ec758,Rafinha,0c2ac3cb,goal,41,h
2019-2020,105ec758,Nolito,b2d0ec1b,penalty_goal,78,h
2019-2020,105ec758,Santi Mina,0b90bb97,goal,86,h
2019-2020,105ec758,Martin Agirregabiria,355c883a,red_card,27,a
2019-2020,c6d15e63,Gonçalo Guedes,e6bc67d7,goal,12,h
2019-2020,c6d15e63,Rodrigo,1fb1c435,goal,35,h
2019-2020,a9391385,Mikel Merino,d080ed5e,goal,83,h
2019-2020,a9391385,Sergio Ramos,08511d65,penalty_goal,50,a
2019-2020,a9391385,Karim Benzema,70d74ece,goal,70,a
2019-2020,b4a6f354,Paco Alcácer,a7a9d95a,goal,18,h
2019-2020,b4a6f354,Pau Torres,532e1e4f,goal,45+4,h
2019-2020,b4a6f354,Sergio Escudero,b0616e3d,goal,39,a
2019-2020,b4a6f354,Munir El Haddadi,8696bc90,goal,63,a
2019-2020,cd3214bc,Bruno González,f11fe861,own_goal,15,a
2019-2020,fb6a1391,Enes Ünal,f8eca1b6,penalty_goal,45+5,h
2019-2020,fb6a1391,Jaime Mata,02319ad7,goal,41,a
2019-2020,7d493bcc,Ivan Rakitić,89f951b5,goal,71,h
2019-2020,87526f2e,Iago Aspas,7dcf86f6,penalty_goal,45,a
2019-2020,4cd62215,Toni Lato,8e088e04,goal,64,a
2019-2020,7dbd513e,Vinicius Júnior,7111d552,goal,19,h
2019-2020,7dbd513e,Sergio Ramos,08511d65,goal,56,h
2019-2020,fab7b789,Geoffrey Kondogbia,cce181df,own_goal,16,h
2019-2020,fab7b789,Eliaquim Mangala,f520049f,yellow_red_card,89,a
2019-2020,6d52f8ca,Marc Bartra,b742cc0d,goal,48,h
2019-2020,e7b17b76,Lucas Ocampos,a08b974a,penalty_goal,83,h
2019-2020,e7b17b76,Kiko Olivas,72b07a9c,goal,25,a
2019-2020,7523603b,Raúl García,b418dbd4,penalty_goal,16,h
2019-2020,7523603b,Oihan Sancet,bdb624a3,goal,24,h
2019-2020,7523603b,Asier Villalibre,57be54ec,goal,90,h
2019-2020,7523603b,Ante Budimir,8f3565b3,penalty_goal,70,a
2019-2020,5b3eeff7,Fyodor Smolov,cbbfa2e7,goal,50,h
2019-2020,5b3eeff7,Iago Aspas,7dcf86f6,goal,88,h
2019-2020,5b3eeff7,Luis Suárez,a6154613,goal,20,a
2019-2020,5b3eeff7,Luis Suárez,a6154613,goal,67,a
2019-2020,ddd262e4,Enric Gallego,82e9b89d,goal,9,h
2019-2020,ddd262e4,Enric Gallego,82e9b89d,goal,90+6,h
2019-2020,ddd262e4,Javier Avilés,53ddba36,goal,50,a
2019-2020,999f27e1,Saúl Ñíguez,c14bc029,goal,59,h
2019-2020,999f27e1,Diego Costa,a190d597,penalty_goal,73,h
2019-2020,999f27e1,Joselu,6265208f,penalty_goal,90+3,a
2019-2020,3a5ed8b4,Borja Mayoral,64e8ed6d,goal,21,h
2019-2020,3a5ed8b4,Enis Bardhi,cac2537b,goal,35,h
2019-2020,3a5ed8b4,José Luis Morales,4a478107,goal,50,h
2019-2020,3a5ed8b4,Rubén Rochina,ecd8c01e,goal,59,h
2019-2020,3a5ed8b4,Sergio Canales,a6de370d,goal,70,a
2019-2020,3a5ed8b4,Juanmi,84399660,goal,87,a
2019-2020,91ffef65,Paco Alcácer,a7a9d95a,goal,14,h
2019-2020,91ffef65,Gerard Moreno,81f0781e,goal,44,h
2019-2020,b0c74bad,Roberto Soldado,9d66fbe3,goal,48,h
2019-2020,b0c74bad,Pablo de Blasis,9ab48bde,goal,16,a
2019-2020,b0c74bad,Kike,e897d8ba,goal,69,a
2019-2020,9732cce0,Casemiro,4d224fe8,goal,45,a
2019-2020,11b50641,Jaime Mata,02319ad7,penalty_goal,20,h
2019-2020,11b50641,Jaime Mata,02319ad7,goal,83,h
2019-2020,11b50641,Adnan Januzaj,4737cebe,goal,55,a
2019-2020,b0284958,Ante Budimir,8f3565b3,penalty_goal,13,h
2019-2020,b0284958,Cucho,71b47ab9,goal,27,h
2019-2020,b0284958,Alejandro Pozo Pozo,3c16d927,goal,40,h
2019-2020,b0284958,Ante Budimir,8f3565b3,goal,52,h
2019-2020,b0284958,Salva Sevilla,75bd85ea,goal,60,h
2019-2020,b0284958,Iago Aspas,7dcf86f6,penalty_goal,50,a
2019-2020,6a087511,Óliver Torres,58a9a4d9,goal,23,a
2019-2020,6a087511,Óliver Torres,58a9a4d9,goal,35,a
2019-2020,6a087511,Munir El Haddadi,8696bc90,goal,82,a
2019-2020,b6be11d4,Diego Costa,a190d597,own_goal,11,h
2019-2020,b6be11d4,Lionel Messi,d70ce98e,penalty_goal,50,h
2019-2020,b6be11d4,Saúl Ñíguez,c14bc029,penalty_goal,19,a
2019-2020,b6be11d4,Saúl Ñíguez,c14bc029,penalty_goal,62,a
2019-2020,5b83dcb6,Antonio Cortés,31a1288d,goal,25,a
2019-2020,5b83dcb6,Roberto Soldado,9d66fbe3,goal,49,a
2019-2020,cecbf1a3,Raúl García,b418dbd4,goal,13,a
2019-2020,cecbf1a3,Raúl García,b418dbd4,goal,47,a
2019-2020,f3b9fdcc,Nabil Fekir,bece776f,yellow_red_card,45+3,h
2019-2020,f3b9fdcc,Gerard Moreno,81f0781e,penalty_goal,7,a
2019-2020,f3b9fdcc,Gerard Moreno,81f0781e,goal,30,a
2019-2020,29a3f8ea,Rubén García,5c96b017,goal,6,a
2019-2020,29a3f8ea,Rubén García,5c96b017,goal,74,a
2019-2020,05783b60,Willian José,d87e2cae,goal,56,h
2019-2020,05783b60,Alexander Isak,8e92be30,goal,84,h
2019-2020,05783b60,David López,f03f284b,goal,10,a
2019-2020,dba1f923,Sergio Ramos,08511d65,penalty_goal,79,h
2019-2020,e4deb0fd,Álvaro Morata,129af0db,penalty_goal,29,h
2019-2020,e4deb0fd,Álvaro Morata,129af0db,goal,45+4,h
2019-2020,e4deb0fd,Koke,55126f3b,goal,79,h
2019-2020,baa095ce,Nolito,b2d0ec1b,goal,22,h
2019-2020,baa095ce,Zouhair Feddal,89151b16,goal,79,a
2019-2020,792c3b42,Joaquín Fernández,b86a64b2,goal,88,h
2019-2020,10d782ce,Carlos Fernández,e08647d6,penalty_goal,61,h
2019-2020,10d782ce,Fede Vico,f681a8ef,goal,86,h
2019-2020,10d782ce,Manu Vallejo,0bc4e720,goal,63,a
2019-2020,10d782ce,Gonçalo Guedes,e6bc67d7,goal,68,a
2019-2020,0d1f592a,Sergio Ramos,08511d65,penalty_goal,73,a
2019-2020,ae095a50,Jonathan Calleri,6922f806,yellow_red_card,88,h
2019-2020,ae095a50,Jonathan Silva,f2308b33,goal,53,a
2019-2020,52c9281f,Gerard Moreno,81f0781e,goal,14,h
2019-2020,52c9281f,Pau Torres,532e1e4f,own_goal,3,a
2019-2020,52c9281f,Luis Suárez,a6154613,goal,20,a
2019-2020,52c9281f,Antoine Griezmann,df69b544,goal,45,a
2019-2020,52c9281f,Ansu Fati,0ba976e4,goal,86,a
2019-2020,34df9818,José Luis Morales,4a478107,goal,16,h
2019-2020,34df9818,Alexander Isak,8e92be30,goal,12,a
2019-2020,c799e2a1,Lucas Ocampos,a08b974a,goal,56,h
2019-2020,9c09eea2,Maxi Gómez,4c2e9442,goal,30,h
2019-2020,9c09eea2,Lee Kangin,8455ad90,goal,89,h
2019-2020,9c09eea2,Víctor García,6636496a,goal,47,a
2019-2020,00606b0a,Fran Beltrán,ed5c5fa3,goal,49,h
2019-2020,00606b0a,Álvaro Morata,129af0db,goal,1,a
2019-2020,2e365032,Guido Rodríguez,34e393f2,goal,4,h
2019-2020,2e365032,Alfonso Pedraza,63f04c6c,goal,25,h
2019-2020,2e365032,Carles Aleñá,6c811eb7,goal,90+7,h
2019-2020,bd4b6879,Hugo Duro,37e103f8,goal,80,h
2019-2020,bd4b6879,Allan Nyom,97572117,red_card,90+7,h
2019-2020,bd4b6879,Santi Cazorla,e2e9c250,penalty_goal,66,a
2019-2020,bd4b6879,Santi Cazorla,e2e9c250,penalty_goal,86,a
2019-2020,bd4b6879,Rubén Peña,1f079188,goal,90+3,a
2019-2020,bd4b6879,Vicente Iborra,ad1ffcfd,red_card,90+7,a
2019-2020,5fcbe609,Ansu Fati,0ba976e4,red_card,50,h
2019-2020,5fcbe609,Luis Suárez,a6154613,goal,56,h
2019-2020,5fcbe609,Pol Lozano,ea610f00,red_card,53,a
2019-2020,5efc2c6e,Cucho,71b47ab9,goal,40,h
2019-2020,5efc2c6e,Takefusa Kubo,16aa3654,goal,84,h
2019-2020,b04170f2,Ander Capa,37f1cf47,goal,28,h
2019-2020,b04170f2,Éver Banega,fa937f7a,goal,69,a
2019-2020,b04170f2,Munir El Haddadi,8696bc90,goal,74,a
2019-2020,2306d0ac,Mikel Merino,d080ed5e,goal,47,h
2019-2020,2306d0ac,Mikel Oyarzabal,8c3c640c,goal,83,h
2019-2020,2306d0ac,Antonio Puertas,c77a8043,goal,21,a
2019-2020,2306d0ac,Roberto Soldado,9d66fbe3,goal,43,a
2019-2020,2306d0ac,Domingos Duarte,93090f69,goal,88,a
2019-2020,6c783b70,Karim Benzema,70d74ece,penalty_goal,11,h
2019-2020,6c783b70,Marco Asensio,45af8a54,goal,50,h
2019-2020,951f6169,Enric Gallego,82e9b89d,goal,23,h
2019-2020,951f6169,José Arnaiz,46e07328,goal,90+1,h
2019-2020,951f6169,Santi Mina,0b90bb97,goal,10,a
2019-2020,2acdcbb0,Arturo Vidal,67cdbc0e,goal,15,a
2019-2020,b4789e7a,Mario Hermoso,555f3a0b,red_card,57,h
2019-2020,b4789e7a,Diego Costa,a190d597,goal,74,h
2019-2020,6c45f5b2,Edu Expósito,283c7121,penalty_goal,25,a
2019-2020,6c45f5b2,Edu Expósito,283c7121,goal,36,a
2019-2020,20e5d527,Enis Bardhi,cac2537b,goal,71,h
2019-2020,20e5d527,Raúl García,b418dbd4,goal,4,a
2019-2020,20e5d527,Raúl García,b418dbd4,goal,45+1,a
2019-2020,17171222,Rubén Pérez,3c7bc9bd,penalty_goal,18,h
2019-2020,17171222,Jonathan Silva,f2308b33,red_card,54,h
2019-2020,2af1c420,Lucas Ocampos,a08b974a,penalty_goal,41,h
2019-2020,2af1c420,Youssef En-Nesyri,04e17fd5,goal,84,h
2019-2020,7dbc25e7,Santi Cazorla,e2e9c250,goal,85,h
2019-2020,7dbc25e7,Willian José,d87e2cae,goal,61,a
2019-2020,7dbc25e7,Diego Llorente,bba30585,goal,75,a
2019-2020,4f76598e,Darwin Machís,ed6ea4d9,goal,50,h
2019-2020,4f76598e,Ferland Mendy,3cefcaef,goal,10,a
2019-2020,4f76598e,Karim Benzema,70d74ece,goal,16,a
2019-2020,f617d2c8,Pedro Bigas,697295b1,goal,21,h
2019-2020,f617d2c8,Takashi Inui,61bd33d0,goal,28,h
2019-2020,f617d2c8,Pablo de Blasis,9ab48bde,penalty_goal,90+2,h
2019-2020,f617d2c8,Sergi Guardiola,32974271,goal,71,a
2019-2020,e61d95c0,Juanmi,84399660,yellow_red_card,90,h
2019-2020,e61d95c0,Loren Morón,3aa4a3be,goal,90+3,h
2019-2020,e61d95c0,Joselu,6265208f,goal,51,a
2019-2020,e61d95c0,Rodrigo Ely,fd47b4f2,goal,76,a
2019-2020,e61d95c0,Rodrigo Ely,fd47b4f2,red_card,90+5,a
2019-2020,44baec00,Allan Nyom,97572117,red_card,90+2,h
2019-2020,44baec00,Marcos Llorente,02c15616,goal,54,a
2019-2020,44baec00,Thomas Partey,529f49ab,goal,80,a
2019-2020,076b3eda,Santi Mina,0b90bb97,goal,36,h
2019-2020,076b3eda,Iago Aspas,7dcf86f6,goal,45+1,h
2019-2020,076b3eda,Nolito,b2d0ec1b,yellow_red_card,90+4,h
2019-2020,076b3eda,Enis Bardhi,cac2537b,goal,11,a
2019-2020,076b3eda,Enis Bardhi,cac2537b,goal,28,a
2019-2020,076b3eda,Borja Mayoral,64e8ed6d,goal,52,a
2019-2020,076b3eda,Jorge Miramón,7f4c7c9f,red_card,59,a
2019-2020,128f7d9e,Kévin Gameiro,42276181,goal,17,h
2019-2020,128f7d9e,Jaume Costa,808d48f3,red_card,90+1,h
2019-2020,7ff03cb7,Lionel Messi,d70ce98e,goal,62,h
2019-2020,7ff03cb7,José Arnaiz,46e07328,goal,15,a
2019-2020,7ff03cb7,Enric Gallego,82e9b89d,red_card,77,a
2019-2020,7ff03cb7,Roberto Torres,d733aa38,goal,90+4,a
2019-2020,49e3b973,Unai Simón,5dcf3e90,red_card,22,h
2019-2020,49e3b973,Miguel Ángel Guerrero,b35db3f6,goal,79,a
2019-2020,49e3b973,Roger Assalé,5d5219b1,goal,90+4,a
2019-2020,360fd166,Cucho,71b47ab9,goal,20,h
2019-2020,360fd166,Aleksandar Sedlar,a35134ae,red_card,80,h
2019-2020,360fd166,Cucho,71b47ab9,yellow_red_card,90+7,h
2019-2020,360fd166,Víctor Díaz,3624ce4c,goal,45+1,a
2019-2020,360fd166,Carlos Fernández,e08647d6,goal,69,a
2019-2020,dcc0a2da,Karim Benzema,70d74ece,goal,29,h
2019-2020,dcc0a2da,Karim Benzema,70d74ece,penalty_goal,77,h
2019-2020,dcc0a2da,Vicente Iborra,ad1ffcfd,goal,83,a
2019-2020,0ca0697f,Ansu Fati,0ba976e4,goal,24,a
2019-2020,0ca0697f,Lionel Messi,d70ce98e,goal,34,a
2019-2020,0ca0697f,Luis Suárez,a6154613,goal,44,a
2019-2020,0ca0697f,Nélson Semedo,d04b94db,goal,57,a
2019-2020,0ca0697f,Lionel Messi,d70ce98e,goal,75,a
2019-2020,eb78fb90,Andre-Frank Zambo Anguissa,6bb2c084,goal,71,h
2019-2020,eb78fb90,Gerard Moreno,81f0781e,goal,86,h
2019-2020,eb78fb90,Gerard Moreno,81f0781e,goal,89,h
2019-2020,eb78fb90,Moi Gómez,5a626448,goal,90+4,h
2019-2020,8a6da88b,Sergi Guardiola,32974271,goal,45+1,h
2019-2020,8a6da88b,Óscar Plano,7c388b20,goal,63,h
2019-2020,1d22a823,Sergio Reguilón,3353737a,goal,55,h
2019-2020,6e87cd50,Roberto Soldado,9d66fbe3,goal,29,h
2019-2020,6e87cd50,Antonio Puertas,c77a8043,goal,55,h
2019-2020,6e87cd50,Carlos Fernández,e08647d6,goal,67,h
2019-2020,6e87cd50,Ángel Montoro,719384c1,goal,90+3,h
