country,name,season,matchreporturl
eng,Premier League,2020-2021,https://fbref.com/en/matches/0d5962be/Crystal-Palace-Newcastle-United-November-27-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/31baf354/Brighton-and-Hove-Albion-Liverpool-November-28-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/2069ffbc/Manchester-City-Burnley-November-28-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/3eeb39c5/Everton-Leeds-United-November-28-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/bd68404c/West-Bromwich-Albion-Sheffield-United-November-28-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/e0a84e7e/Southampton-Manchester-United-November-29-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/58306243/Chelsea-Tottenham-Hotspur-November-29-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/fa17687c/Arsenal-Wolverhampton-Wanderers-November-29-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/ae493b10/Leicester-City-Fulham-November-30-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/2f67603c/West-Ham-United-Aston-Villa-November-30-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/399c7e1c/Burnley-Everton-December-5-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/887dfef6/Manchester-City-Fulham-December-5-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/c2206b97/West-Ham-United-Manchester-United-December-5-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/419abbc0/Chelsea-Leeds-United-December-5-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/ac9d70e3/West-Bromwich-Albion-Crystal-Palace-December-6-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/c1c08638/Sheffield-United-Leicester-City-December-6-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/35abfa2f/North-London-Derby-Tottenham-Hotspur-Arsenal-December-6-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/25249736/Liverpool-Wolverhampton-Wanderers-December-6-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/32356abc/Brighton-and-Hove-Albion-Southampton-December-7-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/2d36ffad/Leeds-United-West-Ham-United-December-11-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/f809a014/Wolverhampton-Wanderers-Aston-Villa-December-12-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/4a2a6f14/Newcastle-United-West-Bromwich-Albion-December-12-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/85cc70bb/Manchester-Derby-Manchester-United-Manchester-City-December-12-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/4847e3c3/Everton-Chelsea-December-12-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/9bec56c6/Southampton-Sheffield-United-December-13-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/9b0e267e/Crystal-Palace-Tottenham-Hotspur-December-13-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/5abb0bd1/Fulham-Liverpool-December-13-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/e4dc55d0/Arsenal-Burnley-December-13-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/964e6470/Leicester-City-Brighton-and-Hove-Albion-December-13-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/20bd0665/Wolverhampton-Wanderers-Chelsea-December-15-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/40b42ca1/Manchester-City-West-Bromwich-Albion-December-15-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/0ceceee4/Arsenal-Southampton-December-16-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/b30c816c/Leicester-City-Everton-December-16-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/b52c441b/Leeds-United-Newcastle-United-December-16-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/98bf02e0/West-Ham-United-Crystal-Palace-December-16-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/eb73d532/Fulham-Brighton-and-Hove-Albion-December-16-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/966f86fe/Liverpool-Tottenham-Hotspur-December-16-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/5d89f60c/Aston-Villa-Burnley-December-17-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/3b3cc5f6/Sheffield-United-Manchester-United-December-17-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/d05715a8/Crystal-Palace-Liverpool-December-19-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/8d4a02ae/Southampton-Manchester-City-December-19-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/72fa1993/Everton-Arsenal-December-19-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/3ae84056/Newcastle-United-Fulham-December-19-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/d1273e90/Brighton-and-Hove-Albion-Sheffield-United-December-20-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/56ffe356/Tottenham-Hotspur-Leicester-City-December-20-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/b7ab53b3/Manchester-United-Leeds-United-December-20-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/4bbe55ff/West-Bromwich-Albion-Aston-Villa-December-20-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/4e106790/Burnley-Wolverhampton-Wanderers-December-21-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/9a718e42/Chelsea-West-Ham-United-December-21-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/33c8b5c8/Leicester-City-Manchester-United-December-26-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/cf86c208/Fulham-Southampton-December-26-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/537b6ef8/Aston-Villa-Crystal-Palace-December-26-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/c5de8a0c/North-West-London-Derby-Arsenal-Chelsea-December-26-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/870d9436/Sheffield-United-Everton-December-26-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/c1c40b30/Manchester-City-Newcastle-United-December-26-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/d54f6293/Leeds-United-Burnley-December-27-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/7ba8c6e9/West-Ham-United-Brighton-and-Hove-Albion-December-27-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/daa09f69/Liverpool-West-Bromwich-Albion-December-27-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/f50faef3/Wolverhampton-Wanderers-Tottenham-Hotspur-December-27-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/77437741/Crystal-Palace-Leicester-City-December-28-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/ac7d1071/Chelsea-Aston-Villa-December-28-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/7577b54b/Southampton-West-Ham-United-December-29-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/21f2b720/West-Bromwich-Albion-Leeds-United-December-29-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/fdca0bef/Brighton-and-Hove-Albion-Arsenal-December-29-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/b33de500/Burnley-Sheffield-United-December-29-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/a8d659e4/Manchester-United-Wolverhampton-Wanderers-December-29-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/385cda3f/Newcastle-United-Liverpool-December-30-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/0cd189c5/Everton-West-Ham-United-January-1-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/0ae3a66d/Manchester-United-Aston-Villa-January-1-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/93463aad/Tottenham-Hotspur-Leeds-United-January-2-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/84a373f5/Crystal-Palace-Sheffield-United-January-2-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/abeb80b7/Brighton-and-Hove-Albion-Wolverhampton-Wanderers-January-2-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/a56531b0/West-Bromwich-Albion-Arsenal-January-2-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/4c205b24/Newcastle-United-Leicester-City-January-3-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/85507602/Chelsea-Manchester-City-January-3-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/d0482032/Southampton-Liverpool-January-4-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/18ccfdb9/Sheffield-United-Newcastle-United-January-12-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/2c8aa556/Burnley-Manchester-United-January-12-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/8cbb9119/Wolverhampton-Wanderers-Everton-January-12-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/9926f1f0/Manchester-City-Brighton-and-Hove-Albion-January-13-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/fcad17a1/Tottenham-Hotspur-Fulham-January-13-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/0476b43a/Arsenal-Crystal-Palace-January-14-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/93420516/Wolverhampton-Wanderers-West-Bromwich-Albion-January-16-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/ade7aac2/Leeds-United-Brighton-and-Hove-Albion-January-16-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/1b06e352/West-Ham-United-Burnley-January-16-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/714c642d/Fulham-Chelsea-January-16-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/85d4ec49/Leicester-City-Southampton-January-16-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/c52b1c4f/Sheffield-United-Tottenham-Hotspur-January-17-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/7e1384ef/North-West-Derby-Liverpool-Manchester-United-January-17-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/15d2f67c/Manchester-City-Crystal-Palace-January-17-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/620df215/Arsenal-Newcastle-United-January-18-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/42daddbb/West-Ham-United-West-Bromwich-Albion-January-19-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/8467b110/Leicester-City-Chelsea-January-19-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/c9710420/Manchester-City-Aston-Villa-January-20-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/2a3855db/Fulham-Manchester-United-January-20-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/787d11cc/Liverpool-Burnley-January-21-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/b2143993/Aston-Villa-Newcastle-United-January-23-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/831d8a36/Newcastle-United-Leeds-United-January-26-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/aab6365d/Crystal-Palace-West-Ham-United-January-26-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/83f7b656/West-Bromwich-Albion-Manchester-City-January-26-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/ac54f8a6/Southampton-Arsenal-January-26-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/f45d57b7/Burnley-Aston-Villa-January-27-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/42eeae0e/Chelsea-Wolverhampton-Wanderers-January-27-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/ea5464bd/Brighton-and-Hove-Albion-Fulham-January-27-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/6e963555/Manchester-United-Sheffield-United-January-27-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/3e4ff1e0/Everton-Leicester-City-January-27-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/17bac3d1/Tottenham-Hotspur-Liverpool-January-28-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/88053fb0/Everton-Newcastle-United-January-30-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/150c80d7/Manchester-City-Sheffield-United-January-30-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/d1517c30/West-Bromwich-Albion-Fulham-January-30-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/111bd050/Crystal-Palace-Wolverhampton-Wanderers-January-30-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/0fcaaa5f/Arsenal-Manchester-United-January-30-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/10d13e5b/Southampton-Aston-Villa-January-30-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/3372f3f3/Chelsea-Burnley-January-31-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/e5e46ead/Leicester-City-Leeds-United-January-31-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/3de3a736/West-Ham-United-Liverpool-January-31-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/4663c253/Brighton-and-Hove-Albion-Tottenham-Hotspur-January-31-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/2d3d863d/Sheffield-United-West-Bromwich-Albion-February-2-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/558fa672/Wolverhampton-Wanderers-Arsenal-February-2-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/ca8297c0/Newcastle-United-Crystal-Palace-February-2-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/37a9f2fd/Manchester-United-Southampton-February-2-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/a05d7ae7/Burnley-Manchester-City-February-3-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/bd0673ed/Fulham-Leicester-City-February-3-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/d9b96ee1/Leeds-United-Everton-February-3-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/8f9d1856/Aston-Villa-West-Ham-United-February-3-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/314c860f/Liverpool-Brighton-and-Hove-Albion-February-3-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/7d98a679/Tottenham-Hotspur-Chelsea-February-4-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/224bcfc4/Aston-Villa-Arsenal-February-6-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/4400251e/Burnley-Brighton-and-Hove-Albion-February-6-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/5313627a/Newcastle-United-Southampton-February-6-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/d18e21ab/Fulham-West-Ham-United-February-6-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/6504b158/Manchester-United-Everton-February-6-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/4a652b81/Tottenham-Hotspur-West-Bromwich-Albion-February-7-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/dca0be20/Wolverhampton-Wanderers-Leicester-City-February-7-2021-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/e044d71d/Liverpool-Manchester-City-February-7-2021-Premier-League
