country,name,season,matchreporturl
eng,Premier League,2020-2021,https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/db261cb0/Crystal-Palace-Southampton-September-12-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/21b58926/Liverpool-Leeds-United-September-12-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/78495ced/West-Ham-United-Newcastle-United-September-12-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/7dd01ca9/West-Bromwich-Albion-Leicester-City-September-13-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/fc7f9aa1/Tottenham-Hotspur-Everton-September-13-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/a3eb7a37/Sheffield-United-Wolverhampton-Wanderers-September-14-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/9d7641eb/Brighton-and-Hove-Albion-Chelsea-September-14-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/45bd1880/Everton-West-Bromwich-Albion-September-19-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/583c2b60/Leeds-United-Fulham-September-19-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/97279323/Manchester-United-Crystal-Palace-September-19-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/f4835ec2/Arsenal-West-Ham-United-September-19-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/967efd56/Southampton-Tottenham-Hotspur-September-20-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/845f6a86/Newcastle-United-Brighton-and-Hove-Albion-September-20-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/c64e5792/Chelsea-Liverpool-September-20-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/465b25a8/Leicester-City-Burnley-September-20-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/98b4b5b6/Aston-Villa-Sheffield-United-September-21-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/1c17eca3/Wolverhampton-Wanderers-Manchester-City-September-21-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/21495573/Brighton-and-Hove-Albion-Manchester-United-September-26-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/7387a72e/Crystal-Palace-Everton-September-26-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/d725a16c/West-Bromwich-Albion-Chelsea-September-26-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/ae113c54/Burnley-Southampton-September-26-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/51fb894e/Sheffield-United-Leeds-United-September-27-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/002c4e89/Tottenham-Hotspur-Newcastle-United-September-27-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/31c2a061/Manchester-City-Leicester-City-September-27-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/a223dd70/West-Ham-United-Wolverhampton-Wanderers-September-27-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/6b258be0/Fulham-Aston-Villa-September-28-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/ebe4e309/Liverpool-Arsenal-September-28-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/d97aa1b5/Chelsea-Crystal-Palace-October-3-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/3cbb397e/Everton-Brighton-and-Hove-Albion-October-3-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/5ce15b58/Leeds-United-Manchester-City-October-3-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/34ba607f/Newcastle-United-Burnley-October-3-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/a29866ec/Leicester-City-West-Ham-United-October-4-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/39864083/Southampton-West-Bromwich-Albion-October-4-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/09725cb3/Arsenal-Sheffield-United-October-4-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/8f989671/Wolverhampton-Wanderers-Fulham-October-4-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/cded7e69/Manchester-United-Tottenham-Hotspur-October-4-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/14a7771b/Aston-Villa-Liverpool-October-4-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/6da04e2d/Merseyside-Derby-Everton-Liverpool-October-17-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/9bd558f5/Chelsea-Southampton-October-17-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/e95b8546/Manchester-City-Arsenal-October-17-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/0b8239de/Newcastle-United-Manchester-United-October-17-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/5529e7a0/Sheffield-United-Fulham-October-18-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/e96818bc/Crystal-Palace-Brighton-and-Hove-Albion-October-18-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/17f0eec9/Tottenham-Hotspur-West-Ham-United-October-18-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/7751d8c1/Leicester-City-Aston-Villa-October-18-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/13f3ae88/West-Bromwich-Albion-Burnley-October-19-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/6a2c4518/Leeds-United-Wolverhampton-Wanderers-October-19-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/873ab775/Aston-Villa-Leeds-United-October-23-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/2b0c0eca/West-Ham-United-Manchester-City-October-24-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/8d896969/Fulham-Crystal-Palace-October-24-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/3aaf7c62/Manchester-United-Chelsea-October-24-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/0bc8d984/Liverpool-Sheffield-United-October-24-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/6439c025/Southampton-Everton-October-25-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/76661e3c/Wolverhampton-Wanderers-Newcastle-United-October-25-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/bcd3a9b4/Arsenal-Leicester-City-October-25-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/26452511/Brighton-and-Hove-Albion-West-Bromwich-Albion-October-26-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/4931660e/Burnley-Tottenham-Hotspur-October-26-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/e1741638/Wolverhampton-Wanderers-Crystal-Palace-October-30-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/9aadc93d/Sheffield-United-Manchester-City-October-31-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/0f158c5c/Burnley-Chelsea-October-31-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/56ad8025/Liverpool-West-Ham-United-October-31-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/235264ac/Aston-Villa-Southampton-November-1-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/448a43ee/Newcastle-United-Everton-November-1-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/75dd1359/Manchester-United-Arsenal-November-1-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/1d01ff0c/Tottenham-Hotspur-Brighton-and-Hove-Albion-November-1-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/f2b91282/Fulham-West-Bromwich-Albion-November-2-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/55d775ec/Leeds-United-Leicester-City-November-2-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/c23d7844/Brighton-and-Hove-Albion-Burnley-November-6-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/4117b695/Southampton-Newcastle-United-November-6-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/ab9f408d/Everton-Manchester-United-November-7-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/527aee54/Crystal-Palace-Leeds-United-November-7-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/089916ee/Chelsea-Sheffield-United-November-7-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/f075fddc/West-Ham-United-Fulham-November-7-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/90c0e34c/West-Bromwich-Albion-Tottenham-Hotspur-November-8-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/8407be08/Leicester-City-Wolverhampton-Wanderers-November-8-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/26382194/Manchester-City-Liverpool-November-8-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/90fd3597/Arsenal-Aston-Villa-November-8-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/dbcba6c6/Newcastle-United-Chelsea-November-21-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/dea0df40/Aston-Villa-Brighton-and-Hove-Albion-November-21-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/8a038069/Tottenham-Hotspur-Manchester-City-November-21-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/50004f43/Manchester-United-West-Bromwich-Albion-November-21-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/13524225/Fulham-Everton-November-22-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/8ed7d991/Sheffield-United-West-Ham-United-November-22-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/0dd6b39b/Leeds-United-Arsenal-November-22-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/cc230451/Liverpool-Leicester-City-November-22-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/1dde1d03/Burnley-Crystal-Palace-November-23-2020-Premier-League
eng,Premier League,2020-2021,https://fbref.com/en/matches/e5bfd125/Wolverhampton-Wanderers-Southampton-November-23-2020-Premier-League
